trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.6, 'e': 3.372015234139186e-06}",20,0,23.972606438698538,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
43,False,"{'a': 0.6, 'e': 2.498050325866638e-06}",25,1,-29.60891029524726,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 1}",1
44,False,"{'a': 0.6, 'e': 1.8506011975819082e-06}",20,0,7.458123769624462,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
45,False,"{'a': 0.6, 'e': 1.3709590863840855e-06}",35,0,-33.29473685364973,"{0: 30, 1: 2, 2: 2, 3: 0, 4: 1}",0
46,False,"{'a': 0.6, 'e': 1.0156314710024917e-06}",25,15,8.117714554665241,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.6, 'e': 7.523982992164216e-07}",25,0,-41.40067469734854,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
48,False,"{'a': 0.6, 'e': 5.573903692694603e-07}",30,0,-51.99352529981475,"{0: 27, 1: 1, 2: 0, 3: 0, 4: 2}",0
49,False,"{'a': 0.6, 'e': 4.1292494158732724e-07}",30,19,6.566385406126438,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
50,False,"{'a': 0.6, 'e': 3.0590232050182605e-07}",25,0,-60.936984675555344,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
51,False,"{'a': 0.6, 'e': 2.2661801277657136e-07}",20,0,18.189412689683287,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
52,False,"{'a': 0.6, 'e': 1.678827529995664e-07}",30,0,-60.383502673883406,"{0: 27, 1: 0, 2: 0, 3: 1, 4: 2}",0
53,False,"{'a': 0.6, 'e': 1.243706023602871e-07}",25,0,12.603094231928473,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
54,False,"{'a': 0.6, 'e': 9.213600834566136e-08}",20,0,-16.11091506859924,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
55,False,"{'a': 0.6, 'e': 6.825603376334877e-08}",30,7,2.2437328454785956,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 0}",1
56,False,"{'a': 0.6, 'e': 5.0565313483355295e-08}",30,8,30.148610547581686,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.6, 'e': 3.745970556295255e-08}",20,0,26.641957909510403,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
58,False,"{'a': 0.6, 'e': 2.7750832422407556e-08}",30,0,13.549328641558484,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
59,False,"{'a': 0.6, 'e': 2.055832229760449e-08}",25,0,27.00485859357472,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
60,False,"{'a': 0.6, 'e': 1.5229979744712646e-08}",25,0,23.72965020686834,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
